Feature name	Feature description	Feature name paper	Feature ID	Feature type	Feature variation	Phenotype1	Description phenotype 1	Phenotype2	Description phenotype 2	Tissue	Tissue description	Experimental	Method	Interaction observed	Name interactive feature	ID interactive feature	Type interactive feature	Organism	Population	T.cruzi strain	Paper PMID	Paper DOI	Paper title	Paper publication date
IL6	interleukin 6	IL-6	ENSG00000136244	Protein	UP	Cardiac		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
IL6	interleukin 6	IL-6	ENSG00000136244	Protein	UP	Chagas		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
IL6	interleukin 6	IL-6	ENSG00000136244	Protein	UP	Symptomatic	Chronic severe	Symptomatic	Chronic incipient	Blood	Serum	Yes	Luminex assay	No				Homo sapiens	Mexico		29180164	10.1016/j.actatropica.2017.11.009	Th-17 cytokines are associated with severity of Trypanosoma cruzi chronic infection in pediatric patients from endemic areas of Mexico	2018
LEP	leptin	Leptin	ENSG00000174697	Protein	UP	Cardiac		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
LEP	leptin	Leptin	ENSG00000174697	Protein	UP	Chagas		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
LEPR	leptin receptor	Obr	ENSG00000116678	Protein	UP	Asymptomatic		Cardiac		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
LEPR	leptin receptor	Obr	ENSG00000116678	Protein	DOWN	Cardiac		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
NPPB	natriuretic peptide B	BNP	ENSG00000120937	Protein	UP	Cardiac		Asymptomatic		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
NPPB	natriuretic peptide B	BNP	ENSG00000120937	Protein	UP	Cardiac		Asymptomatic	Isolated changes in electrocardiogram	Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
NPPB	natriuretic peptide B	BNP	ENSG00000120937	Protein	UP	Cardiac		Asymptomatic	Segmental or global LV systolic dysfuntion	Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
NPPB	natriuretic peptide B	BNP	ENSG00000120937	Protein	UP	Cardiac		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TGFB1	transforming growth factor beta 1	TGF-Î²1	ENSG00000105329	Protein	DOWN	Asymptomatic	Segmental or global LV systolic dysfuntion	Asymptomatic		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TGFB1	transforming growth factor beta 1	TGF-Î²1	ENSG00000105329	Protein	DOWN	Cardiac		Asymptomatic		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TGFB1	transforming growth factor beta 1	TGF-Î²1	ENSG00000105329	Protein	DOWN	Asymptomatic	Segmental or global LV systolic dysfuntion	Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TGFB1	transforming growth factor beta 1	TGF-Î²1	ENSG00000105329	Protein	DOWN	Cardiac		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TNF	tumor necrosis factor	TNF	ENSG00000232810	Protein	UP	Cardiac		Asymptomatic		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TNF	tumor necrosis factor	TNF	ENSG00000232810	Protein	UP	Cardiac		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29513876	10.1590/0074-02760170440	Correlation of transforming growth factor-Î²1 and tumour necrosis factor levels with left ventricular function in Chagas disease	2018
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein	UP	Cardiac		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		30044791	10.1371/journal.pntd.0006589	Innate immune receptors over expression correlate with chronic chagasic cardiomyopathy and digestive damage in patients	2018
TNF	tumor necrosis factor	TNF	ENSG00000232810	Protein	UP	Chagas		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29768622	10.1590/0074-02760170489	Single nucleotide polymorphisms of cytokine-related genes and association with clinical outcome in a Chagas disease case-control study from Brazil	2018
TNF	tumor necrosis factor	TNF	ENSG00000232810	Protein	UP	Mild cardiac		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29768622	10.1590/0074-02760170489	Single nucleotide polymorphisms of cytokine-related genes and association with clinical outcome in a Chagas disease case-control study from Brazil	2018
TNF	tumor necrosis factor	TNF	ENSG00000232810	Protein	UP	Severe cardiac		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Brazil		29768622	10.1590/0074-02760170489	Single nucleotide polymorphisms of cytokine-related genes and association with clinical outcome in a Chagas disease case-control study from Brazil	2018
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein	UP	Cardiac		Indeterminate		Blood		Yes	ELISA	No				Homo sapiens	Brazil		30044791	10.1371/journal.pntd.0006589	Innate immune receptors over expression correlate with chronic chagasic cardiomyopathy and digestive damage in patients	2018
TNFRSF1B	TNF receptor superfamily member 1B	TNF-R2	ENSG00000028137	Protein	UP	Asymptomatic		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
TNFRSF1B	TNF receptor superfamily member 1B	TNF-R2	ENSG00000028137	Protein	UP	Cardiac		Healthy		Plasma		Yes	Enzyme-linked immunosorbent assay kits	No				Homo sapiens	Argentina		30253402	10.1159/000491699	Dysregulated Network of Immune, Endocrine and Metabolic Markers is Associated to More Severe Human Chronic Chagas Cardiomyopathy	2018
CCL3	C-C motif chemokine ligand 3	CCL3	ENSG00000277632	Protein	UP	Cardiac	Left ventricule dystolic dysfunction	Digestive		Plasma		Yes	LUMINEX xMAP MAGPIX instrument	No				Homo sapiens	Brazil		28002786	10.1016/j.cyto.2016.12.002	Plasma concentrations of CCL3 and CCL4 in the cardiac and digestive clinical forms of chronic Chagas disease	2017
CCL4	C-C motif chemokine ligand 4	CCL4	ENSG00000275302	Protein	UP	Cardiac	Left ventricule dystolic dysfunction	Digestive		Plasma		Yes	LUMINEX xMAP MAGPIX instrument	No				Homo sapiens	Brazil		28002786	10.1016/j.cyto.2016.12.002	Plasma concentrations of CCL3 and CCL4 in the cardiac and digestive clinical forms of chronic Chagas disease	2017
CCR3	C-C motif chemokine receptor 3	CCR3	ENSG00000183625	Protein	UP	Moderate cardiac		Severe cardiac		Blood	CD4	Yes	Immunostaining	No				Homo sapiens	Brazil		29160519	10.1590/0037-8682-0025-2017	Ex vivo T-lymphocyte chemokine receptor phenotypes in patients with chronic Chagas disease	2017
CCR4	C-C motif chemokine receptor 4	CCR4	ENSG00000183813	Protein	UP	Moderate cardiac		Severe cardiac		Blood	CD8	Yes	Immunostaining	No				Homo sapiens	Brazil		29160519	10.1590/0037-8682-0025-2017	Inhibition of NFE2L2-Antioxidant Response Element Pathway by Mitochondrial Reactive Oxygen Species Contributes to Development of Cardiomyopathy and Left Ventricular Dysfunction in Chagas Disease	2017
Cd274	CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]	CD274	ENSMUSG00000016496	Protein	UP	Chronic		Healthy		Placenta		Yes	Western blot	No				Mus musculus	C57BL/6	K98	28273076	10.1371/journal.pntd.0005436	Different genotypes of Trypanosoma cruzi produce distinctive placental environment genetic response in chronic experimental infection	2017
Cd274	CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]	CD274	ENSMUSG00000016496	Protein	UP	Chronic		Healthy		Placenta		Yes	Western blot	No				Mus musculus	C57BL/6	VD	28273076	10.1371/journal.pntd.0005436	Different genotypes of Trypanosoma cruzi produce distinctive placental environment genetic response in chronic experimental infection	2017
Cxcl1	chemokine (C-X-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:108068]	CXCL1	ENSMUSG00000029380	Protein	UP	Chronic		Healthy		Placenta		Yes	Western blot	No				Mus musculus	C57BL/6	K98	28273076	10.1371/journal.pntd.0005436	Different genotypes of Trypanosoma cruzi produce distinctive placental environment genetic response in chronic experimental infection	2017
IL17A	interleukin 17A	IL-17A	ENSG00000112115	Protein	UP	Indeterminate		Cardiac		Plasma		Yes	Flow cytometry	No				Homo sapiens	Brazil		28278264	10.1371/journal.pone.0172833	The role of interleukin 17-mediated immune response in Chagas disease: High level is correlated with better left ventricular function	2017
IL17A	interleukin 17A	IL-17A	ENSG00000112115	Protein	UP	Indeterminate		Healthy		Plasma		Yes	Flow cytometry	No				Homo sapiens	Brazil		28278264	10.1371/journal.pone.0172833	The role of interleukin 17-mediated immune response in Chagas disease: High level is correlated with better left ventricular function	2017
IL4	interleukin 4	IL-4	ENSG00000113520	Protein		Asymptomatic		Asymptomatic		Serum		No	Correlation	Yes	IFNG	ENSG00000111537	RNA	Homo sapiens	Brazil		28062289	10.1016/j.micpath.2017.01.002	Evaluation of P2X7 receptor expression in peripheral lymphocytes and immune profile from patients with indeterminate form of Chagas disease	2017
IL4	interleukin 4	IL-4	ENSG00000113520	Protein	UP	Asymptomatic		Healthy		Serum		Yes	BD CBA Kit Human Th1/Th2/Th17	No				Homo sapiens	Brazil		28062289	10.1016/j.micpath.2017.01.002	Evaluation of P2X7 receptor expression in peripheral lymphocytes and immune profile from patients with indeterminate form of Chagas disease	2017
IL6	interleukin 6	IL-6	ENSG00000136244	Protein	UP	Asymptomatic		Healthy		Serum		Yes	BD CBA Kit Human Th1/Th2/Th17	No				Homo sapiens	Brazil		28062289	10.1016/j.micpath.2017.01.002	Evaluation of P2X7 receptor expression in peripheral lymphocytes and immune profile from patients with indeterminate form of Chagas disease	2017
LGALS1	galectin 1	Gal-1	ENSG00000100097	Protein	UP	Digestive	Megacolon	Healthy		Myenteric plexus ganglia		Yes	Immunostaining	No				Homo sapiens	Brazil		28554765	10.1016/j.prp.2017.04.014	Evaluation of the immunohistochemical expression of Gal-1, Gal-3 and Gal-9 in the colon of chronic chagasic patients	2017
LGALS9	galectin 9	Gal-9	ENSG00000168961	Protein	UP	Digestive	Megacolon	Healthy		Myenteric plexus ganglia		Yes	Immunostaining	No				Homo sapiens	Brazil		28554765	10.1016/j.prp.2017.04.014	Evaluation of the immunohistochemical expression of Gal-1, Gal-3 and Gal-9 in the colon of chronic chagasic patients	2017
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein		Asymptomatic		Asymptomatic		Serum		No	Correlation	Yes	IL10	ENSG00000136634	RNA	Homo sapiens	Brazil		28062289	10.1016/j.micpath.2017.01.002	Evaluation of P2X7 receptor expression in peripheral lymphocytes and immune profile from patients with indeterminate form of Chagas disease	2017
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein	DOWN	Asymptomatic		Healthy		Serum		Yes	BD CBA Kit Human Th1/Th2/Th17	No				Homo sapiens	Brazil		28062289	10.1016/j.micpath.2017.01.002	Evaluation of P2X7 receptor expression in peripheral lymphocytes and immune profile from patients with indeterminate form of Chagas disease	2017
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	3 hours pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	5 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	15 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	UP	Acute	3 hours pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	3 hours pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	5 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Acute	15 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	3 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	3 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	Eotaxin	ENSMUSG00000020676	Protein	DOWN	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	3 hours pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	UP	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	MIP-1Î±	ENSMUSG00000000982	Protein	DOWN	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
